AMDPROFILER POWER PROFILE REPORT

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x21)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Dec-11-2022_21-00-43,
Profile Duration:,24 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
62,21:0:49:955,   33.17,    1.39,    1.20,    1.55,    1.55,   10.37,    1.38
63,21:0:50:055,   32.81,    1.40,    1.19,    1.65,    1.41,   10.46,    0.75
64,21:0:50:155,   36.16,    5.65,    1.42,    1.58,    1.63,   10.64,    1.07
65,21:0:50:255,   39.06,   12.07,    1.53,    1.62,    1.45,   10.54,    1.21
66,21:0:50:355,   38.88,   12.19,    1.49,    1.61,    1.36,   10.42,    1.41
67,21:0:50:455,   30.19,    4.91,    1.56,    1.52,    1.31,    7.54,    1.31
68,21:0:50:555,   32.58,    1.26,    1.44,    1.55,    1.56,   12.86,    1.61
69,21:0:50:655,   35.66,    1.31,    1.21,    1.46,    1.50,   16.96,    0.92
70,21:0:50:755,   35.74,    1.33,    1.18,    1.47,    1.44,   16.90,    0.95
71,21:0:50:855,   36.00,    1.32,    1.12,    1.41,    1.39,   16.68,    1.28
72,21:0:50:955,   35.96,    1.31,    1.13,    1.56,    1.27,   16.85,    1.03
73,21:0:51:055,   36.01,    1.33,    1.14,    1.48,    1.37,   16.86,    1.21
74,21:0:51:155,   37.63,    1.38,    1.21,    1.50,    1.44,   17.39,    1.43
75,21:0:51:255,   26.39,    1.27,    1.20,    1.66,    1.92,    5.68,    1.24
76,21:0:51:355,   25.92,    1.17,    0.83,    1.47,    1.33,    5.36,    1.24
77,21:0:51:455,   26.23,    1.14,    0.84,    1.45,    1.34,    5.37,    1.19
78,21:0:51:555,   26.93,    1.13,    0.19,    1.43,    1.41,    5.35,    1.26
79,21:0:51:655,   26.61,    1.12,    0.11,    1.41,    1.33,    5.38,    1.15
80,21:0:51:755,   27.50,    1.13,    0.19,    1.43,    1.30,    5.36,    1.17
81,21:0:51:855,   27.43,    1.13,    0.54,    1.24,    1.30,    5.29,    1.26
